t,year,market_units,share_nominal,share_effective,sales_units,asp_gbp,revenue_gbp,lost_demand_units,alloc_Tesla,alloc_BMW,alloc_Mercedes,alloc_Audi
0,2024,14166.666666666666,0.0,0.0,0.0,123287.47258267156,0.0,0.0,0.0,0.0,0.0,0.0
1,2024,14166.666666666666,0.0,0.0,0.0,119266.54127702463,0.0,0.0,0.0,0.0,0.0,0.0
2,2024,14166.666666666666,0.0,0.0,0.0,124303.17503893659,0.0,0.0,0.0,0.0,0.0,0.0
3,2024,14166.666666666666,0.0,0.0,0.0,122368.41634871236,0.0,0.0,0.0,0.0,0.0,0.0
4,2024,14166.666666666666,0.0,0.0,0.0,115130.12817465179,0.0,0.0,0.0,0.0,0.0,0.0
5,2024,14166.666666666666,0.0,0.0,0.0,125707.46821964109,0.0,0.0,0.0,0.0,0.0,0.0
6,2024,14166.666666666666,0.0,0.0,0.0,123133.67642388424,0.0,0.0,0.0,0.0,0.0,0.0
7,2024,14166.666666666666,0.0,0.0,0.0,123432.77166332345,0.0,0.0,0.0,0.0,0.0,0.0
8,2024,14166.666666666666,0.0,0.0,0.0,115537.36359210654,0.0,0.0,0.0,0.0,0.0,0.0
9,2024,14166.666666666666,0.0,0.0,0.0,119404.63125474681,0.0,0.0,0.0,0.0,0.0,0.0
10,2024,14166.666666666666,0.0,0.0,0.0,118449.57629079097,0.0,0.0,0.0,0.0,0.0,0.0
11,2024,14166.666666666666,0.0,0.0,0.0,125121.17986618323,0.0,0.0,0.0,0.0,0.0,0.0
12,2025,15583.333333333334,0.0,0.0,0.0,121726.38144096796,0.0,0.0,0.0,0.0,0.0,0.0
13,2025,15583.333333333334,0.0,0.0,0.0,123873.13935924997,0.0,0.0,0.0,0.0,0.0,0.0
14,2025,15583.333333333334,0.0,0.0,0.0,119320.97038592797,0.0,0.0,0.0,0.0,0.0,0.0
15,2025,15583.333333333334,0.0,0.0,0.0,116726.86466141732,0.0,0.0,0.0,0.0,0.0,0.0
16,2025,15583.333333333334,0.0,0.0,0.0,120655.01744419002,0.0,0.0,0.0,0.0,0.0,0.0
17,2025,15583.333333333334,0.0,0.0,0.0,114765.8070732501,0.0,0.0,0.0,0.0,0.0,0.0
18,2025,15583.333333333334,0.0,0.0,0.0,123931.57406391099,0.0,0.0,0.0,0.0,0.0,0.0
19,2025,15583.333333333334,0.0,0.0,0.0,121579.97278946478,0.0,0.0,0.0,0.0,0.0,0.0
20,2025,15583.333333333334,0.0,0.0,0.0,123097.05288102447,0.0,0.0,0.0,0.0,0.0,0.0
21,2025,15583.333333333334,0.0,0.0,0.0,118254.31161755841,0.0,0.0,0.0,0.0,0.0,0.0
22,2025,15583.333333333334,0.0,0.0,0.0,125648.37629273886,0.0,0.0,0.0,0.0,0.0,0.0
23,2025,15583.333333333334,0.0,0.0,0.0,124717.45345586637,0.0,0.0,0.0,0.0,0.0,0.0
24,2026,17000.0,0.0,0.0,0.0,123340.60196488515,0.0,113.33333333333333,19.89,8.84,7.366666666666667,5.8933333333333335
